title_lemmatized,text_lemmatized,rating
recommend buying scale,receive scale weigh weigh second time pound difference recommend buying scale,1.0
life extension product slightly price,"life extension product slightly price three thousand , two hundred and thirty - three year purchase product work need pay",5.0
fire hazard beware,fire hazard battery heat,1.0
good flavor,like vanilla chocolate flavor floss lovecocofloss coconut mint flavor coconut way well,2.0
phlegm clearing throat relief,help throat phlegm prevent clearing throat tho taste awful day sadly work,1.0
highly recommend,migraine definitely try product aunt year have not single migraine,5.0
die,love buy uv bag two mth ago stop work beep red will not start uv process anymore,1.0
defective nozzle repeat multiple can buy,love product year begin two thousand and twenty - one noticed packaging change nozzle stop work use hope possibly buy couple bad lot case gold bond defective can not return bad try clear blockage needle run hot water avail normal hand pressure spray hand completely disappoint product love,1.0
star,wet hair ok daughter,4.0
use caution,use caution microwave product forgot time suppose use guess minute big mistake save direction know minute burst microwave tiny little ball fault bad good product,4.0
ok,ok,4.0
compact comfortable care tailbone issue,compact large person overweight tush big cush wish buy large compact comfortable care tailbone issue large size time,4.0
son wrist flexion accurately like fault,turn little big measure son wrist flexion accurately like fault take chance work advertise,4.0
like,cute,4.0
love,end brush start come brush hold heat run hair times reheat love quality poor,1.0
expect,hurt rib going feel good trick fit breast need,4.0
pen light bandage scissor nicely pocket bonus fit,fit blood pressure cuff stethoscope pen light bandage scissor nicely pocket bonus fit badge overall great product good quality material match blood pressure cuff perfect fashionable nurse,5.0
star,heavy job,4.0
do not waist money,do not work,1.0
do not work well lime away purchase dollar store,worth money pay,1.0
great facial hair,perfect facial hair work great,5.0
taste horrible buy,taste horrible try put banana strawberry worth money,1.0
useful,plastic feel bit weak cut,4.0
great headset overall,love amazing sound quality battery life headset allow listen music night worry battery die issue I ve velcro strap uncomfortable lay stab head make tough sleep cotton feel well that s do not enjoy,4.0
worth money,great crutchs arm loose,4.0
work advertise wear use,wear outdoor wedding work danced night end start wear do not think use bridesmaid wear size like,4.0
garbage,I ve buy brand five year expect great product price normally forty - five month two fall apart literally two week use heating pad stop work come apart hand,1.0
size fit,theses mask fit,1.0
good value money,worth penny,1.0
star,product great do not care flavor,4.0
slightly sweet rich dark chocolate,satisfied chocolate crave one net carb that s win dark chocolate taste hint hazelnut fill similar truffle soft love majority ingredient natural sweetener stevia erythritol nice sweet taste aftertaste ingredient be not crazy palm oil check box,5.0
look promise clipper work,buy wife say clipper sharp work return bad,1.0
fiber,great one gram net carb kinda greasy weird texture positive note fiber wish affordable,3.0
love,excellent effective product absolutely love tooth major difference,5.0
awful,bad little hand soap purchase turn big glob hand peel,1.0
do not work,do not deter feral cat yard deck price hope well result,1.0
taste great give energy need,taste great give energy need I ve try flavor brand current favorite,4.0
star,can not try later use tape,2.0
huge fan enfit,do not like syrinx leak screw tight leak give med messy thing do not like use wash smooth anymore u go med syrinx stick med end ceiling,1.0
poor value,remind toilet paper buy ninety - nine cent store thin cheap pay,1.0
cheap do not,material separate piece cheaply,3.0
soft tough beard,brush nice soft bristle feel great face tough thick beard can not handle manliness get star soft beard bet great brush,3.0
work great,product work great,5.0
good quality five bag different size description bit misleading,bag high quality mesh fine zipper durable I m deduct star somewhat ambiguous description say two extra large bag assume large size list 24x24 reality turn refer different size 24x24 24x20 important looking buy large laundry bag possible happy find set be not expect base main description five size list detail main description set mislead,4.0
disappoint,product suction wall support shower head,1.0
recommend,love set file weak paperlike nail one clean file perfect fix small nick nail smooth nail,5.0
contain sugar carb,set toniiq electrolyte packet tablet packet come nice sturdy white box suitable gift give impressive presentation like toniiq tablets1 can not stomach think drink glass kind liquid especially sick thing want mix fizzy electrolyte drink taste nasty try electrolyte tablet handy lifesaver two handy carry purse pocket gym bag three sugar carb supplement improved1 tablet large difficult people swallow small tablet ideal two i d serve separate envelope freshness would not normally use day complaint personal preference purchase toniiq electrolyte tablet promotional price testing review purpose think they re great especially you re medication zap potassium work hand time feel like get tired blah day replace electrolyte make feel clearerheade energetic struggle keep electrolyte balanced supplement benefit,5.0
worth penny,poor quality brush like original oral b feel flimsy throw away worth trouble pack mail seller recommend free,1.0
perfect worth,thick wild curly hair curl arnt tight lot hair do not hair perfect run normal straighter easy general need blow hair round brush brush smooth quick satisfied,4.0
star,good price,5.0
size xl xxl xxxl xxxxl near xl like small medium large,size order replace lumbar orthotic office brace fit size thirty - eight waist embarrassing patient here 4xl do not strap mortify,2.0
response wife,product deliver time package good condition product good condition appear describe use meet expectation fit form function,5.0
sort work,sort work depend you re need heel slip shoe prevent irritation back ankle adhere super good shoe come you re slip shoe tight snug fitting shoe odd thing expect kind far heel prevent see shoe suppose present visual problem you re wear ankle pant,2.0
great valu,sturdy cute nice color,5.0
copper braclet,wear everyday,5.0
nice set price,good quality,4.0
perfect supplement healthy,supplement boost energy health balance improve immune system happy help lose weight keep away drain immunity weakness glad find perfect supplement healthier,5.0
bad,ok thin bend crease price can not wrong sturdy like real plastic order,4.0
good introduction form body work,feel brochure decent job explain form bodywork go personalized brochure need quickly help promote service chiropractor office recently open anew office like foot reflexology,4.0
great price great supply,definitely way buy great price great supply,5.0
great test,low cost trial advertise protect plantar fasciitis work stitch end sock fall apart happy result invest well pair n future,2.0
crap,velcro work worthless,1.0
bit expensive,work expensive,3.0
star,item arrive single box two pack seventy - five,1.0
pequeno,videoid9411a3f35095703fdddf4de18b509f5e muy pequeno pero esta bien,4.0
allergic reaction product,initially product work great fast forward handful use appear allergy product bridge nose suddenly irritated red wear glass pad sleep night glass nose bridge red puffy sore super itchy,1.0
strong,love scent scent come wax melt expect hope scent fill small room case,2.0
good,great massager cord tad long use extension cord,4.0
actually work,husband tend wear shoe sock van ballet flat etc closet stink shock spray actually work do not think away horrible foot smell buy,5.0
work,work stretch jean follow instruction exactly notice increase waistband denim jean disappoint,2.0
last sixteen month,work fine fourteen month charge day shy sixteen monthsstopped working will not charge treat drop purchase brand,1.0
buy day label fall thirty day use,obviously essential feature pill case able read day week photo label fall like carry hardly get disturbed sit desk get pick twice day rate bet case useless sixty day use,1.0
fail go two hundred and ten,advertise reach temperature four hundred and fifty degree that s false go two hundred and ten I m upset reason purchase,2.0
star,cute,5.0
hold breath drink you re good,taste awful god make wanna run brick wall hit weight,4.0
star,love makeup puff,5.0
new product,new product actually feel different contact lens solution,2.0
long last do not smell natural,bath bomb tightly compact last long time smell natural chemical like essential oil,3.0
hideous chemical odor,high hope room spray underlie noxious chemical odor completely overpower nauseous hideous i d definitely recommend purchase,1.0
star,great product,4.0
great value price,great price do not suck ml work effectively convenient use ship fast grateful definitely purchase,5.0
love,love product save time money buying instead,5.0
work totally amazing die month,love literally change life make flat ironing fast easy day month later do not warm stay low temp hot steam I m sure happened order different steam iron different company hope last,4.0
junk,bad allow amazon leave ear work,1.0
internally make unnecessary shower daily basis,twelve shot throat twelve shot sublingually use two oz bottle long nasal sprayer add reach internally make unnecessary shower daily basis feel dirty lifestyle that s real watersaver thing change speak miracle soap rep tell bottle six month shelf life day arrive can not possibly finish bottle size time oz low price advantageous tell six month life fact internally external soap hand twelve month lifespan explain rep,5.0
berta mini hair curler,want small curl iron great travel try sure fit need work great basic low high heat setting wish take previous trip,5.0
junk,do not bother junk,1.0
cheap,came completely smash garbage bag use half,1.0
miss item,get special need son medication work great issue miss syrinx see picture that s come completely seal syringe count one hundred miss one receive eighty - two,3.0
great quality,multiple use extremely sharp perfect removal dead skin,5.0
adequate product,item well sixty - eight inch long scrub entire change position overhead underhand long handle allow reach entire overhand position guess short will not matter six ft tall,3.0
star,love duster like fact washable recommend,5.0
great low calorie mix,low calorie drink mix great way stay hydrated especially like drink straight water day be not easy drink instruction tend bit sweet typically use twenty oz water one scoop mix negative product package small opening tiny scoop make get container impossible scoop long handle mix solve problem,4.0
beware,work try return refund deny,1.0
cool brush,cool brush job easy hold,5.0
kind upset,work great completely stop work hook camera literally will not let picture camera freeze till,2.0
star,exactly need easy install,4.0
star,good,3.0
